score,count
163,1
160,1
159,1
158,2
157,4
156,1
155,12
154,5
153,11
152,8
151,10
150,9
149,23
148,20
147,28
146,30
145,42
144,35
143,60
142,46
141,53
140,52
139,78
138,77
137,79
136,89
135,77
134,93
133,109
132,98
131,102
130,119
129,134
128,121
127,102
126,108
125,120
124,123
123,134
122,124
121,141
120,125
119,120
118,118
117,130
116,111
115,103
114,115
113,106
112,109
111,123
110,101
109,98
108,96
107,107
106,75
105,81
104,81
103,82
102,65
101,80
100,63
99,78
98,57
97,63
96,55
95,48
94,42
93,44
92,45
91,48
90,38
89,43
88,30
87,42
86,21
85,38
84,30
83,19
82,20
81,14
80,21
79,15
78,8
77,9
76,10
75,2
74,4
73,2
72,2
